id,produto,marca,avaliacao,preco
115,Laptop,Samsung,3.7,867.68
116,Camera,Asus,1.9,1138.2
117,Monitor,Asus,4.5,1292.22
118,Headphone,Asus,2.4,762.92
119,Headphone,Samsung,3.2,242.59
120,Laptop,HP,1.3,1797.9
121,Headphone,Samsung,1.7,606.82
122,Headphone,Asus,3.7,1682.53
123,Laptop,Apple,2.1,586.66
124,Tablet,Apple,2.4,652.72
125,Headphone,HP,4.4,112.7
126,Smartphone,HP,2.8,1881.91
127,Monitor,Apple,3.5,1365.65
128,Camera,Apple,3.7,1022.15
129,Printer,Samsung,2.9,972.67
130,Smartphone,LG,3.2,326.33
131,Printer,HP,2.1,1516.4
132,Smartphone,LG,4.9,269.87
133,Headphone,Apple,4.9,1602.71
134,Smartwatch,LG,4.1,1293.19
135,Smartphone,HP,3.7,1388.28
136,Smartwatch,HP,1.1,1870.6
137,Laptop,Asus,4.2,244.6
138,Smartwatch,HP,4.6,372.92
139,Tablet,LG,4.5,67.97
140,Headphone,Samsung,4.3,936.39
141,Tablet,Lenovo,4.9,1788.68
142,Smartphone,HP,3.7,232.94
143,Camera,Apple,2.2,694.3
144,Printer,Asus,3.3,99.19
145,Smartphone,Samsung,3.0,1473.19
146,Tablet,HP,4.3,1634.93
147,Tablet,Samsung,4.4,1542.19
148,Tablet,Samsung,3.5,1347.64
149,Headphone,HP,4.3,349.56
150,Printer,Apple,1.6,665.53
151,Printer,Sony,3.1,704.08
152,Smartphone,Samsung,3.8,572.3
153,Tablet,Sony,2.2,1029.39
154,Camera,Lenovo,4.1,508.5
155,Monitor,Apple,1.5,1430.14
156,Monitor,Apple,3.6,1369.3
157,Smartphone,Apple,3.4,349.55
158,Printer,HP,3.4,1263.41
159,Monitor,HP,1.0,1494.76
160,Camera,Sony,1.8,635.18
161,Smartphone,Apple,3.9,1016.7
162,Monitor,Samsung,1.2,968.28
163,Smartwatch,Dell,2.0,938.75
164,Smartphone,LG,4.5,241.15
165,Tablet,Samsung,3.1,903.49
166,Tablet,Sony,1.0,1940.09
167,Printer,Asus,4.7,203.76
168,Monitor,Asus,2.0,60.57
169,Smartphone,HP,1.5,203.33
170,Tablet,LG,2.3,1351.71
171,Tablet,LG,3.1,846.05
172,Printer,Lenovo,1.5,1556.91
173,Smartwatch,LG,2.2,1375.36
174,Camera,Dell,3.2,551.02
175,Smartwatch,Dell,3.1,237.41
176,Camera,Lenovo,2.1,153.28
177,Printer,Asus,4.7,553.46
178,Monitor,HP,3.2,1872.89
179,Camera,HP,2.4,916.68
180,Headphone,Lenovo,1.4,1455.31
181,Monitor,Asus,2.9,1976.86
182,Camera,HP,2.7,1058.15
183,Headphone,Samsung,2.3,1746.63
184,Smartphone,Apple,4.8,1042.17
185,Laptop,Dell,4.8,1914.28
186,Monitor,HP,4.7,351.56
187,Smartphone,LG,1.4,1770.73
188,Monitor,Dell,3.6,1107.09
189,Smartwatch,Dell,2.5,736.55
190,Monitor,LG,4.7,1452.64
191,Smartwatch,Sony,3.7,108.63
192,Laptop,HP,1.9,1977.88
193,Headphone,HP,4.4,1312.13
194,Printer,Dell,1.4,95.94
195,Monitor,LG,3.1,237.03
196,Tablet,Sony,4.7,644.78
197,Smartphone,Lenovo,2.0,1669.78
198,Printer,Samsung,2.3,238.67
199,Smartwatch,Lenovo,2.1,1431.75
200,Headphone,Asus,1.5,1566.42
201,Headphone,LG,1.2,210.53
202,Camera,Lenovo,4.7,71.96
203,Smartwatch,Dell,3.5,1354.34
204,Monitor,HP,1.5,1121.09
205,Smartwatch,Asus,2.3,1985.13
206,Printer,Sony,1.5,1596.59
207,Printer,Samsung,3.0,1520.85
208,Tablet,Samsung,1.2,1268.66
209,Printer,Apple,1.3,236.92
210,Smartphone,Sony,1.2,1117.35
211,Smartwatch,Apple,3.4,94.26
212,Printer,LG,3.5,740.42
213,Headphone,Asus,3.5,1824.91
214,Tablet,Sony,2.2,1933.27
215,Laptop,Lenovo,4.4,1899.06
216,Headphone,Asus,3.3,125.21
217,Laptop,HP,4.1,64.6
218,Laptop,Samsung,3.6,564.35
219,Laptop,Sony,1.2,1522.74
220,Tablet,Dell,4.7,1409.08
221,Laptop,Samsung,3.2,1939.87
222,Laptop,Dell,2.7,58.65
223,Printer,HP,3.0,1161.83
224,Laptop,Samsung,2.5,605.5
225,Printer,Apple,4.5,230.78
226,Tablet,Asus,3.3,463.27
227,Monitor,Asus,4.0,1267.55
228,Camera,Dell,3.4,705.97
229,Monitor,Apple,4.0,266.88
230,Tablet,Apple,4.2,1434.34
231,Smartwatch,Dell,3.0,1454.99
232,Headphone,Samsung,3.0,1145.85
233,Printer,Lenovo,2.0,451.05
234,Laptop,Asus,3.9,1411.84
235,Laptop,Lenovo,3.8,1267.21
236,Headphone,Dell,2.1,1308.08
237,Tablet,Dell,2.4,1297.99
238,Smartwatch,Asus,2.4,517.19
239,Laptop,LG,3.0,535.9
240,Monitor,Apple,1.7,1903.85
241,Camera,Lenovo,2.7,1680.87
242,Headphone,Dell,3.7,165.52
243,Headphone,Asus,3.9,827.58
244,Tablet,Asus,2.0,534.87
245,Printer,HP,4.7,1781.0
246,Monitor,Asus,2.1,1873.95
247,Smartwatch,Samsung,1.1,353.69
248,Laptop,Samsung,3.1,1105.03
249,Monitor,HP,1.4,1304.1
250,Smartphone,Lenovo,3.1,1564.84
251,Monitor,Sony,3.3,582.51
252,Headphone,Sony,2.9,1137.43
253,Camera,Lenovo,2.3,547.29
254,Tablet,Apple,1.7,975.29
255,Smartphone,HP,3.1,166.54
256,Monitor,Sony,2.1,146.93
257,Smartphone,Apple,3.4,1479.34
258,Camera,Sony,1.6,409.31
259,Smartphone,Apple,1.6,651.68
260,Camera,Samsung,2.3,902.7
261,Camera,LG,3.1,1484.83
262,Headphone,LG,4.1,1167.8
263,Tablet,Sony,1.2,1583.6
264,Smartphone,Asus,1.7,184.34
265,Smartwatch,LG,4.9,1360.09
266,Printer,Samsung,2.5,643.45
267,Headphone,HP,1.5,265.33
268,Smartwatch,Lenovo,4.9,309.47
269,Monitor,Samsung,3.9,553.14
270,Camera,HP,1.1,621.22
271,Tablet,Samsung,3.1,1200.04
272,Smartphone,HP,4.3,409.59
273,Laptop,HP,2.6,1225.88
274,Tablet,Sony,4.4,86.79
275,Smartwatch,HP,4.3,339.71
276,Laptop,Samsung,4.5,322.54
277,Headphone,Lenovo,2.7,984.9
278,Smartphone,Lenovo,3.6,1425.58
279,Laptop,Asus,3.6,550.93
280,Smartwatch,LG,1.9,903.77
281,Camera,Asus,2.1,1269.65
282,Smartwatch,Samsung,2.3,1319.82
283,Headphone,Dell,2.0,383.0
284,Tablet,Samsung,4.9,385.43
285,Tablet,Asus,4.7,1372.87
286,Monitor,Apple,3.9,552.88
287,Laptop,Lenovo,3.7,862.78
288,Printer,Lenovo,3.0,1566.37
289,Laptop,Samsung,2.1,415.41
290,Printer,LG,3.7,1901.71
291,Printer,Dell,4.0,1127.16
292,Tablet,Asus,1.4,1624.4
293,Monitor,Apple,3.6,364.1
294,Laptop,LG,4.8,784.5
295,Tablet,Dell,2.3,130.52
296,Smartphone,Samsung,1.1,187.29
297,Monitor,Asus,1.5,367.67
298,Camera,HP,2.1,974.06
299,Printer,LG,4.5,1320.41
300,Tablet,Samsung,2.0,1910.64
301,Smartwatch,Samsung,1.3,1679.63
302,Laptop,LG,1.8,1579.04
303,Smartphone,LG,2.7,1738.82
304,Smartphone,Apple,3.9,284.18
305,Smartwatch,Apple,3.9,1440.0
306,Smartphone,HP,1.5,1032.36
307,Smartwatch,HP,3.2,801.56
308,Monitor,LG,1.9,1918.33
309,Tablet,LG,2.3,928.15
310,Laptop,Samsung,3.0,1194.04
311,Tablet,Lenovo,4.3,1479.02
312,Smartphone,HP,1.1,1760.53
313,Smartphone,Sony,4.3,814.81
314,Laptop,LG,3.2,1565.17
315,Printer,Asus,1.8,111.97
316,Laptop,LG,4.6,561.07
317,Smartwatch,LG,3.4,1264.96
318,Smartphone,Sony,4.6,168.44
319,Smartwatch,HP,2.8,1392.52
320,Printer,Apple,4.1,359.21
321,Tablet,Sony,3.9,1396.74
322,Headphone,Asus,2.3,1887.36
323,Headphone,Sony,4.0,566.51
324,Smartwatch,Apple,4.1,597.74
325,Smartwatch,Dell,1.8,305.97
326,Laptop,Dell,2.1,1261.86
327,Camera,Apple,2.3,563.62
328,Tablet,LG,2.9,233.69
329,Headphone,LG,1.1,876.4
330,Camera,Samsung,3.0,708.2
331,Headphone,HP,1.7,906.26
332,Camera,Asus,3.2,1442.56
333,Smartwatch,Sony,4.8,1314.98
334,Monitor,Lenovo,2.8,1167.67
335,Smartphone,Lenovo,3.3,202.02
336,Laptop,HP,4.0,148.86
337,Laptop,LG,3.9,811.71
338,Monitor,HP,4.1,1297.1
339,Tablet,Apple,2.0,1314.85
340,Printer,Apple,2.7,1319.22
341,Smartwatch,HP,2.6,1639.57
342,Printer,HP,4.4,423.87
343,Camera,LG,3.4,1132.46
344,Smartphone,Sony,3.1,1379.77
345,Printer,HP,3.3,1805.22
346,Smartphone,Dell,2.4,836.82
347,Printer,Sony,4.3,656.95
348,Headphone,Dell,2.2,182.93
349,Laptop,Samsung,1.8,930.34
350,Smartwatch,Sony,4.1,1270.42
351,Monitor,Apple,3.8,1083.86
352,Monitor,Dell,1.6,1426.15
353,Headphone,Apple,1.6,1042.82
354,Smartwatch,Dell,3.5,1611.09
355,Smartphone,LG,4.5,1140.16
356,Printer,LG,3.8,1202.27
357,Printer,Lenovo,2.0,1906.41
358,Smartphone,Dell,3.3,280.02
359,Laptop,Dell,4.0,603.82
360,Camera,Lenovo,2.7,543.19
361,Monitor,Apple,2.0,1167.26
362,Headphone,LG,3.0,600.42
363,Monitor,HP,4.4,618.46
364,Headphone,Samsung,1.6,147.74
365,Printer,Asus,1.3,57.03
366,Laptop,LG,1.9,1904.78
367,Monitor,Samsung,1.2,367.72
368,Printer,Lenovo,1.4,394.69
369,Smartphone,Lenovo,1.2,1089.82
370,Laptop,Lenovo,4.5,1528.86
371,Printer,Apple,3.0,545.89
372,Tablet,Samsung,4.8,1424.72
373,Printer,Asus,4.3,1137.08
374,Laptop,Apple,3.6,1066.11
375,Smartphone,Apple,4.2,70.49
376,Smartphone,HP,1.4,817.02
377,Tablet,Apple,2.1,201.58
378,Monitor,LG,2.0,1367.71
379,Smartphone,Sony,1.8,1038.59
380,Smartwatch,HP,2.1,101.43
381,Laptop,Samsung,3.1,358.37
382,Monitor,Samsung,1.9,451.68
383,Printer,Asus,2.2,1431.63
384,Smartwatch,Lenovo,1.3,468.6
385,Monitor,Asus,1.9,501.61
386,Monitor,Dell,4.2,1613.53
387,Smartphone,LG,1.6,508.43
388,Tablet,HP,2.8,1176.03
389,Tablet,Apple,2.3,842.76
390,Tablet,Sony,4.4,609.9
391,Laptop,Samsung,2.8,1053.2
392,Smartwatch,Dell,1.6,567.9
393,Camera,HP,1.2,1103.26
394,Laptop,Dell,3.7,1062.76
395,Headphone,HP,2.1,1603.57
396,Tablet,Asus,2.9,291.12
397,Monitor,HP,1.5,1948.17
398,Camera,Dell,5.0,1338.68
399,Smartwatch,LG,1.4,721.18
400,Laptop,Apple,1.1,1540.25
401,Camera,Sony,4.0,785.24
402,Laptop,Lenovo,1.9,463.44
403,Laptop,LG,4.5,579.81
404,Headphone,Samsung,3.6,516.84
405,Laptop,Lenovo,2.5,161.22
406,Smartphone,LG,4.8,466.44
407,Printer,Asus,2.5,1623.67
408,Headphone,Sony,3.5,753.67
409,Tablet,Dell,3.2,593.12
410,Smartwatch,Sony,3.8,262.47
411,Laptop,HP,3.9,1837.68
412,Smartphone,Sony,4.8,1385.06
413,Headphone,Dell,3.4,1631.78
414,Tablet,Samsung,2.5,1804.67
415,Smartphone,Asus,5.0,311.42
416,Monitor,Dell,3.0,1246.54
417,Smartwatch,LG,4.8,1560.11
418,Camera,Asus,1.1,1770.68
419,Smartwatch,Dell,1.1,1611.4
420,Tablet,Lenovo,4.6,108.34
421,Monitor,Sony,4.8,1200.7
422,Monitor,Samsung,1.3,273.25
423,Camera,HP,2.6,1609.65
424,Tablet,Lenovo,1.6,1229.35
425,Headphone,Lenovo,2.2,769.51
426,Printer,HP,3.5,1410.72
427,Printer,Apple,1.7,1895.11
428,Smartwatch,Asus,3.6,633.57
429,Printer,Samsung,2.7,1238.58
430,Printer,Sony,3.8,660.34
431,Printer,Samsung,3.1,640.5
432,Laptop,Sony,4.5,1027.89
433,Laptop,Sony,2.9,769.86
434,Smartwatch,LG,2.4,997.1
435,Printer,HP,4.3,1610.32
436,Smartphone,Dell,1.6,970.3
437,Smartphone,Lenovo,4.4,783.17
438,Smartwatch,Dell,1.3,1235.85
439,Monitor,LG,4.6,1661.96
440,Camera,HP,1.5,548.27
441,Smartwatch,HP,4.6,1687.57
442,Smartwatch,Lenovo,4.3,213.59
443,Tablet,Asus,4.0,53.51
444,Printer,Sony,2.6,561.61
445,Laptop,LG,4.2,1913.72
446,Smartphone,Asus,3.2,1805.19
447,Tablet,LG,2.7,1981.97
448,Smartphone,Sony,3.0,198.12
449,Camera,Apple,2.4,1106.72
450,Camera,Samsung,1.1,614.62
451,Monitor,HP,5.0,1230.44
452,Smartphone,Lenovo,3.0,615.42
453,Smartphone,Asus,1.2,1778.93
454,Monitor,Asus,3.0,1180.61
455,Smartwatch,LG,3.1,1791.15
456,Laptop,LG,2.9,917.99
457,Smartwatch,Dell,4.5,1737.65
458,Smartwatch,Sony,3.9,1337.8
459,Tablet,Samsung,3.2,471.72
460,Smartwatch,Dell,1.4,1301.13
461,Headphone,Lenovo,4.9,1005.61
462,Smartwatch,Apple,2.4,1922.96
463,Laptop,HP,2.9,1964.96
464,Headphone,Samsung,1.2,981.69
465,Smartwatch,Apple,2.2,997.29
466,Printer,Samsung,1.6,1385.32
467,Smartwatch,Sony,4.8,460.34
468,Monitor,Apple,1.1,1338.96
469,Smartphone,Samsung,2.2,1778.15
470,Smartwatch,HP,2.3,256.68
471,Smartwatch,HP,4.8,1487.82
472,Headphone,LG,3.6,680.85
473,Printer,LG,4.9,1391.12
474,Smartwatch,Samsung,1.6,991.1
475,Headphone,LG,3.7,223.47
476,Printer,Dell,1.6,1686.09
477,Smartwatch,Samsung,3.3,1795.9
478,Monitor,Apple,4.7,146.14
479,Smartwatch,Dell,4.5,1251.21
480,Monitor,Dell,3.9,1717.68
481,Camera,Samsung,3.0,1807.03
482,Printer,HP,2.8,1319.11
483,Tablet,LG,4.0,157.54
484,Headphone,Sony,4.9,1447.85
485,Tablet,HP,1.6,1876.64
486,Smartphone,Asus,4.0,225.63
487,Monitor,LG,3.0,1832.52
488,Smartphone,HP,4.5,940.18
489,Printer,Dell,4.6,884.51
490,Smartphone,LG,1.3,149.26
491,Smartwatch,HP,3.3,1491.35
492,Laptop,LG,3.9,706.33
493,Monitor,Dell,1.2,302.0
494,Tablet,Samsung,2.5,1918.7
495,Monitor,Samsung,3.8,1052.3
496,Camera,HP,2.0,1714.76
497,Smartphone,Sony,2.4,1660.06
498,Tablet,Lenovo,4.6,1786.59
499,Tablet,Samsung,1.1,1431.55
500,Camera,Dell,1.8,1263.04
501,Smartwatch,HP,2.7,991.05
502,Tablet,LG,4.3,935.19
503,Monitor,LG,1.1,1826.82
504,Monitor,Sony,1.8,1639.97
505,Headphone,Samsung,2.2,1297.43
506,Monitor,Dell,1.5,846.36
507,Laptop,Sony,4.3,1046.25
508,Smartphone,LG,2.9,328.01
509,Tablet,Samsung,1.4,1888.02
510,Printer,Samsung,2.7,87.73
511,Printer,Lenovo,3.5,707.71
512,Laptop,Asus,2.4,699.7
513,Smartphone,Lenovo,3.5,1164.28
514,Camera,Asus,1.7,58.6
515,Smartphone,Apple,2.1,887.92
516,Headphone,Sony,4.2,586.52
517,Smartphone,Apple,3.0,1662.71
518,Printer,Asus,4.2,1432.67
519,Smartwatch,Asus,2.8,1544.86
520,Laptop,Lenovo,3.5,56.78
521,Smartwatch,Apple,3.2,1105.89
522,Smartphone,Sony,2.9,1307.04
523,Monitor,Asus,4.9,1897.05
524,Monitor,HP,2.5,1130.86
525,Tablet,Apple,4.2,343.7
526,Printer,Asus,3.3,1225.42
527,Headphone,Asus,3.5,1662.5
528,Printer,Samsung,2.1,300.26
529,Smartwatch,Dell,1.6,1907.05
530,Headphone,Asus,1.5,1140.72
531,Monitor,Sony,3.3,1112.36
532,Laptop,Apple,1.2,1706.65
533,Smartwatch,HP,2.8,1951.51
534,Monitor,Samsung,4.7,1852.65
535,Printer,LG,4.7,510.06
536,Monitor,Lenovo,1.2,1274.68
537,Laptop,Dell,3.2,1858.17
538,Monitor,Samsung,4.5,1965.56
539,Monitor,Sony,4.3,877.17
540,Smartphone,Asus,3.9,937.2
541,Printer,Dell,2.4,111.06
542,Laptop,Sony,2.6,881.75
543,Monitor,LG,2.1,1084.94
544,Laptop,Asus,3.9,920.17
545,Smartphone,Samsung,3.8,650.0
546,Monitor,Dell,1.5,1227.78
547,Headphone,HP,4.2,1505.29
548,Printer,Sony,2.0,1323.39
549,Tablet,HP,3.2,1093.03
550,Camera,Apple,3.5,293.49
551,Laptop,LG,4.9,909.98
552,Smartwatch,LG,2.0,621.02
553,Smartphone,Sony,2.9,501.78
554,Smartwatch,Sony,2.8,70.37
555,Headphone,HP,1.1,1509.3
556,Tablet,Apple,1.8,537.33
557,Smartwatch,Lenovo,3.5,125.99
558,Monitor,HP,1.3,1933.93
559,Monitor,Lenovo,1.2,1005.25
560,Laptop,Asus,3.2,539.52
561,Tablet,Lenovo,4.7,180.03
562,Smartwatch,LG,1.8,1383.54
563,Tablet,Apple,1.4,1769.79
564,Camera,Samsung,4.3,1895.86
565,Laptop,LG,1.3,104.86
566,Camera,Lenovo,3.1,1731.27
567,Laptop,Apple,4.7,1768.74
568,Smartphone,LG,4.4,1429.05
569,Camera,Asus,4.8,807.74
570,Smartphone,HP,3.8,825.89
571,Printer,Samsung,4.1,407.82
572,Headphone,Sony,2.3,266.09
573,Camera,Sony,2.4,1790.91
574,Tablet,Asus,1.8,271.64
575,Headphone,Apple,2.9,1080.22
576,Printer,Lenovo,1.4,1134.9
577,Printer,Sony,3.5,136.23
578,Headphone,Lenovo,4.9,419.73
579,Printer,Samsung,4.2,1009.05
580,Smartwatch,Sony,4.6,176.38
581,Monitor,Asus,3.4,120.78
582,Smartwatch,LG,1.4,1177.16
583,Laptop,Apple,4.3,1234.64
584,Printer,Samsung,2.2,464.93
585,Laptop,Asus,4.6,650.21
586,Laptop,LG,1.7,1137.67
587,Laptop,Sony,3.7,144.14
588,Laptop,Asus,2.4,154.41
589,Headphone,Asus,3.9,129.28
590,Camera,Sony,3.2,329.36
591,Headphone,LG,2.8,1667.0
592,Printer,Samsung,2.7,723.81
593,Printer,Lenovo,4.0,917.18
594,Tablet,Dell,2.0,1410.75
595,Headphone,Lenovo,3.9,1613.26
596,Printer,HP,3.2,1095.04
597,Smartwatch,Lenovo,3.2,1556.3
598,Smartphone,Samsung,3.7,1089.82
599,Monitor,Samsung,1.4,971.51
600,Headphone,Apple,4.4,683.45
601,Printer,LG,1.4,188.44
602,Monitor,Apple,2.2,564.39
603,Headphone,Asus,3.1,1278.2
604,Laptop,Asus,4.2,632.5
605,Smartphone,Samsung,1.1,1036.65
606,Printer,Samsung,1.9,1642.39
607,Printer,LG,3.6,1157.79
608,Monitor,LG,3.4,1247.88
609,Laptop,Samsung,1.2,1302.99
610,Smartwatch,Lenovo,3.2,1619.18
611,Headphone,Lenovo,1.2,569.12
612,Camera,Dell,4.1,1919.87
613,Laptop,Asus,4.8,1368.92
614,Tablet,Asus,2.3,1262.27
615,Smartphone,Samsung,1.2,490.61
616,Tablet,LG,1.4,1418.55
617,Smartphone,HP,3.2,744.29
618,Headphone,Apple,3.3,1409.42
619,Laptop,HP,3.6,1189.42
620,Monitor,Sony,2.9,1255.75
621,Camera,Asus,2.5,1170.13
622,Laptop,Apple,1.5,701.57
623,Smartphone,Samsung,2.3,213.25
624,Camera,Dell,2.5,970.59
625,Camera,Sony,1.9,1220.01
626,Headphone,HP,3.3,949.6
627,Headphone,LG,1.2,1027.4
628,Monitor,Apple,1.1,314.12
629,Smartwatch,Lenovo,4.0,1344.36
630,Smartphone,Dell,3.8,844.26
631,Headphone,Samsung,3.9,314.89
632,Tablet,Apple,4.0,212.46
633,Tablet,Samsung,2.8,1809.27
634,Laptop,Asus,1.2,150.04
635,Laptop,Lenovo,3.5,316.86
636,Monitor,Lenovo,1.7,1684.32
637,Printer,Asus,4.1,1178.73
638,Camera,LG,2.2,1505.01
639,Camera,Lenovo,4.0,985.0
640,Smartphone,LG,4.5,1346.61
641,Smartwatch,HP,2.5,1145.91
642,Headphone,Samsung,4.0,1857.69
643,Camera,Apple,2.3,111.11
644,Smartphone,LG,4.9,739.88
645,Printer,HP,1.4,979.62
646,Smartwatch,Lenovo,4.3,1648.84
647,Headphone,Asus,2.1,916.09
648,Camera,Samsung,4.5,86.18
649,Printer,Sony,3.3,1416.19
650,Printer,Samsung,4.3,139.17
651,Printer,Sony,4.1,1443.7
652,Printer,Lenovo,3.2,1699.22
653,Laptop,Apple,2.6,236.89
654,Smartphone,Apple,1.6,811.94
655,Headphone,HP,3.7,1256.2
656,Tablet,Samsung,4.6,1935.12
657,Camera,Sony,3.3,1596.33
658,Smartphone,Asus,1.9,1653.32
659,Camera,Samsung,2.1,792.37
660,Camera,Dell,3.6,1225.61
661,Smartwatch,Asus,4.5,1968.63
662,Camera,Apple,2.9,1260.8
663,Monitor,Asus,4.5,923.02
664,Printer,Apple,2.9,1917.31
665,Smartwatch,Samsung,2.1,1184.31
666,Laptop,Asus,1.4,1434.75
667,Laptop,Apple,2.2,413.7
668,Headphone,Dell,4.0,420.15
669,Printer,Sony,4.7,1125.69
670,Camera,Apple,1.2,1380.95
671,Smartphone,Asus,3.9,534.19
672,Headphone,Lenovo,3.7,147.59
673,Printer,HP,4.0,561.56
674,Tablet,Dell,2.2,175.78
675,Headphone,LG,2.7,1437.55
676,Monitor,Apple,4.6,1278.73
677,Laptop,Sony,3.6,1450.66
678,Laptop,Sony,2.6,1253.31
679,Smartwatch,Dell,1.9,1962.27
680,Monitor,Apple,2.2,1696.38
681,Headphone,LG,2.4,1677.38
682,Monitor,Asus,1.1,1880.22
683,Tablet,LG,4.3,1554.97
684,Laptop,Dell,3.0,1099.59
685,Printer,Asus,1.9,192.42
686,Monitor,Asus,1.2,1813.59
687,Tablet,Samsung,2.6,1228.1
688,Smartphone,HP,4.7,1466.84
689,Tablet,Apple,3.1,1672.52
690,Tablet,Apple,5.0,813.99
691,Monitor,Apple,2.0,389.06
692,Smartwatch,LG,1.6,465.64
693,Smartwatch,Apple,3.2,1761.55
694,Headphone,Lenovo,1.8,1141.48
695,Smartphone,LG,1.7,142.93
696,Camera,LG,4.4,536.21
697,Laptop,Apple,3.8,886.65
698,Laptop,Asus,2.2,1664.31
699,Monitor,HP,1.5,1399.01
700,Smartphone,Asus,1.4,559.18
701,Smartphone,Apple,1.4,1070.96
702,Monitor,LG,4.8,1512.79
703,Tablet,LG,4.8,693.25
704,Smartphone,Samsung,2.4,1336.17
705,Laptop,HP,1.8,1914.47
